Country Sort descending,Total Score and Status,Obstacles to Access,Limits on Content,Violations of User Rights
Angola,61 Partly Free,11,29,21
Argentina,71 Free,19,27,25
Armenia,74 Free,20,28,26
Australia,76 Free,23,28,25
Azerbaijan,38 Not Free,12,15,11
Bahrain,29 Not Free,16,6,7
Bangladesh,43 Partly Free,13,18,12
Belarus,28 Not Free,12,10,6
Brazil,65 Partly Free,20,24,21
Cambodia,43 Partly Free,13,18,12
Canada,87 Free,23,32,32
China,10 Not Free,8,2,0
Colombia,64 Partly Free,19,24,21
Costa Rica,88 Free,21,34,33
Cuba,20 Not Free,4,9,7
Ecuador,64 Partly Free,18,24,22
Egypt,27 Not Free,13,10,4
Estonia,93 Free,25,31,37
Ethiopia,27 Not Free,5,13,9
France,76 Free,23,29,24
Georgia,78 Free,19,31,28
Germany,77 Free,23,28,26
Ghana,64 Partly Free,14,27,23
Hungary,69 Partly Free,22,24,23
Iceland,95 Free,25,34,36
India,51 Partly Free,13,21,17
Indonesia,49 Partly Free,14,17,18
Iran,16 Not Free,7,5,4
Iraq,42 Partly Free,12,16,14
Italy,75 Free,21,29,25
Japan,77 Free,22,29,26
Jordan,47 Partly Free,14,17,16
Kazakhstan,32 Not Free,10,11,11
Kenya,68 Partly Free,16,27,25
Kyrgyzstan,53 Partly Free,15,22,16
Lebanon,51 Partly Free,11,22,18
Libya,44 Partly Free,8,21,15
Malawi,57 Partly Free,11,25,21
Malaysia,59 Partly Free,18,22,19
Mexico,61 Partly Free,18,25,18
Morocco,51 Partly Free,15,21,15
Myanmar,12 Not Free,2,6,4
Nicaragua,45 Partly Free,11,17,17
Nigeria,57 Partly Free,16,24,17
Pakistan,26 Not Free,6,13,7
Philippines,65 Partly Free,17,26,22
Russia,23 Not Free,11,6,6
Rwanda,37 Not Free,13,11,13
Saudi Arabia,24 Not Free,12,8,4
Serbia,72 Free,22,25,25
Singapore,54 Partly Free,19,17,18
South Africa,73 Free,18,29,26
South Korea,67 Partly Free,22,24,21
Sri Lanka,48 Partly Free,9,22,17
Sudan,29 Not Free,5,13,11
Taiwan,79 Free,24,30,25
Thailand,39 Not Free,16,14,9
The Gambia,56 Partly Free,12,24,20
Tunisia,61 Partly Free,16,26,19
Turkey,32 Not Free,14,10,8
Uganda,50 Partly Free,12,19,19
Ukraine,59 Partly Free,18,21,20
United Arab Emirates,28 Not Free,12,9,7
United Kingdom,79 Free,24,30,25
United States,76 Free,21,30,25
Uzbekistan,27 Not Free,9,11,7
Venezuela,30 Not Free,7,12,11
Vietnam,22 Not Free,12,6,4
Zambia,58 Partly Free,15,23,20
Zimbabwe,49 Partly Free,8,23,18
